country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
Iceland,1980,24.8,137.7335,73.3,24.1,131.3972,80
Israel,1980,24.8,132.5967,72,24.4,130.4035,75.4
Italy,1980,25.4,136.6196,70.7,25.2,135.4398,77.4
Jamaica,1980,22.3,131.2596,68.1,24.7,126.9808,70.7
Jordan,1980,24.6,127.2848,65.2,27.5,125.9781,67.4
Japan,1980,22.1,136.7991,73.4,21.3,131.1927,78.8
Kazakhstan,1980,24.6,137.0069,57.4,25.3,134.3076,67.9
Kenya,1980,20.3,128.2376,57.1,20.8,123.6912,60
Cambodia,1980,19.7,119.397,43.2,19.6,112.5955,51.6
Kiribati,1980,25.5,127.454,55.7,25.9,120.3608,58.8
Kuwait,1980,25.5,135.5765,68.7,28.1,136.1181,72.4
Lebanon,1980,23.9,131.9719,55.7,24.3,131.788,64
Liberia,1980,21.1,134.2041,43.1,21.4,129.2683,46.2
Libya,1980,24.4,141.705,62.6,26.8,138.3627,67.6
Sri Lanka,1980,20.4,126.4659,66,20.9,121.6269,71.9
Lesotho,1980,20.6,128.6312,51.7,25.2,124.8581,61
Lithuania,1980,26,140.0776,65.2,27,137.7555,75.5
Luxembourg,1980,25,139.621,69.2,24.2,133.7191,75.4
Latvia,1980,25.1,138.7732,63.4,25.6,136.5139,74
"Macao, China",1980,22.6,134.3374,71.4,23.8,133.2525,75.5
Morocco,1980,23.2,127.8159,54.1,23.6,126.4714,56.4
Moldova,1980,24.7,135.9049,61.4,26.9,132.3487,68.7
Madagascar,1980,20.7,130.6493,48.7,20.3,126.7476,51.1
Maldives,1980,20.4,124.4417,55.3,21.7,119.5845,56.1
Mexico,1980,24.4,129.7175,61.2,24.6,128.1507,68.6
Marshall Islands,1980,24.7,127.4392,57.5,25.4,122.4148,65.4
Mali,1980,20.3,127.9186,39.9,19.1,122.6852,41.6
Malta,1980,25.7,136.5557,69.7,25.9,134.9835,74.5
Myanmar,1980,19.7,120.2104,52.1,19.7,116.2727,56.8
Montenegro,1980,25.5,137.1238,68.5,26,134.7172,74.9
Mongolia,1980,23.5,135.0935,53.4,24.4,129.1893,58
Mozambique,1980,20.4,133.3791,41.4,20.6,127.8409,44.2
Mauritania,1980,20.9,134.1249,53.4,22.5,126.0247,56.8
Mauritius,1980,22,133.8192,62.2,23.2,130.6442,69.7
Malawi,1980,20.8,130.2455,42.9,20.7,124.9166,47.3
Malaysia,1980,21.6,127.3278,66.4,22.1,124.613,70.3
Namibia,1980,21.1,137.2583,51.8,23,132.3818,62
Niger,1980,20.5,140.9045,39.2,19.9,128.0459,40.1
Nigeria,1980,21,134.4935,45.2,22,130.9934,47.5
Nicaragua,1980,24,131.6126,55.1,24.4,126.4446,60.8
Netherlands,1980,24.1,138.6991,72.4,24,131.916,79.1
Norway,1980,24.7,142.1456,72.3,23.7,136.9746,79.2
Nepal,1980,21,123.8241,47.8,18.7,119.5416,47.9
Nauru,1980,28.1,135.5285,59.8,28.3,133.3679,65.5
New Zealand,1980,25.3,134.1954,70,24.2,128.1169,75.8
Oman,1980,23,131.6683,58.3,24.9,130.3149,62.7
Pakistan,1980,21.5,125.0727,56.8,21.8,123.2591,58.6
Panama,1980,23.5,131.8722,67.1,23.9,126.8397,71.7
Peru,1980,23,129.6581,57.5,25.1,126.4587,61.8
Philippines,1980,21.2,126.6025,60.8,21.2,122.2215,64.4
Palau,1980,25.4,134.3851,55.3,26.3,129.5003,68.5
Papua New Guinea,1980,21.8,118.6532,55.7,20.8,110.3353,59.9
Poland,1980,25.1,136.7665,65.8,25.9,137.4738,74.2
Puerto Rico,1980,24.8,132.0512,69.3,26,127.7666,77.4
Portugal,1980,25.1,138.0721,68.1,24.8,135.2923,75.2
Paraguay,1980,23.4,132.8326,63.2,23.5,128.0746,66.4
French Polynesia,1980,25.4,133.9388,65.9,26.3,128.6862,68.6
Qatar,1980,25,139.256,69.9,27.2,139.4559,72.3
Romania,1980,24.7,134.7686,65.9,25.4,133.7437,71.4
Russia,1980,25,134.6196,60.2,26.8,133.7711,71.8
Rwanda,1980,21.6,131.8463,46.7,20.5,129.157,49.2
Saudi Arabia,1980,25,136.7878,61.3,26.3,135.1572,64.4
Sudan,1980,20.7,129.7485,52.4,20.8,124.5247,55.6
Senegal,1980,20.3,133.2086,47.9,21.2,127.6697,50.4
Singapore,1980,22.6,131.6479,69,23.5,129.7363,74.7
Solomon Islands,1980,24,123.9146,60.4,23.8,118.2653,66.1
Sierra Leone,1980,21.4,134.4863,41.7,21.3,130.0772,44.5
El Salvador,1980,23.8,127.8098,41.2,23.7,122.9391,56.8
Somalia,1980,20.9,130.7846,46.1,20.8,126.8622,48.9
Serbia,1980,25.6,139.0199,65.9,26.2,136.6482,71.8
Sao Tome and Principe,1980,21.3,138.4622,58.3,21.4,131.5433,61.2
Suriname,1980,23.3,131.1013,59.4,24.7,127.1012,65
Slovak Republic,1980,25.6,137.1651,66.7,26.1,135.7915,74.3
Slovenia,1980,25.7,138.328,66.3,26.3,136.4919,74.5
Sweden,1980,24.7,138.8169,72.8,24.4,132.924,78.9
Seychelles,1980,22.2,135.9212,61.4,24.6,130.384,70.3
Syria,1980,24.4,129.6465,64.8,25.8,128.9787,68
Chad,1980,20.2,130.3407,41,19.2,122.5937,45.1
Togo,1980,20.9,134.3251,50,20.3,127.459,52.4
Thailand,1980,20.3,122.7923,60.2,21.5,118.3269,68
Tajikistan,1980,24.2,133.8833,57.2,24.2,130.4651,61.7
Turkmenistan,1980,24.4,135.0541,57.6,24.1,132.1678,64.4
Timor-Leste,1980,19.9,122.4633,23.6,19.5,116.6069,36.4
Tonga,1980,26.4,126.2658,62.5,27.2,119.5204,70.3
Trinidad and Tobago,1980,24.8,131.5946,65.3,26.1,126.0523,69.9
Tunisia,1980,22.2,129.8247,62.1,24.6,129.9665,66.1
Turkey,1980,23.7,125.8545,59.4,26.1,127.1133,66.2
Taiwan,1980,22.4,128.9099,69.7,22.4,124.1092,74.7
Tanzania,1980,21.3,126.3819,49.1,20.9,122.5951,53.5
Uganda,1980,21.3,130.699,39.1,20.5,126.3266,47.4
Ukraine,1980,24.9,139.7242,63.5,26.4,136.0755,73.4
Uruguay,1980,24.2,134.836,67,23.3,129.0226,74.4
United States,1980,25.5,131.2012,70,25,125.3505,77.5
Uzbekistan,1980,24.6,130.3843,59.8,24.1,126.9597,66.2
Venezuela,1980,24.6,136.4754,66.4,24.7,132.2448,71.3
British Virgin Islands,1980,23.7,133.1897,65,24.8,127.0613,71.1
Vietnam,1980,19,123.1646,62,18.6,117.117,70.5
Vanuatu,1980,23.2,131.9361,59.5,22.9,124.8248,63.3
Samoa,1980,25.8,130.2907,61.8,26.8,122.9231,68.2
South Africa,1980,23.1,135.4393,56.9,27,133.2438,63.2
Zambia,1980,19.7,130.692,52.4,21.4,127.2273,55.8
Zimbabwe,1980,21.5,130.8484,56.6,25.4,128.7457,60.8
Afghanistan,1981,21.5,125.2157,38.3,20.5,122.2677,42.3
Angola,1981,20.9,134.8481,40,20.1,129.9897,45.9
