country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
Kazakhstan,1985,24.8,136.4964,59.6,25.5,133.4806,68.6
Kenya,1985,20.5,127.4097,58.9,21.2,124.005,62.3
Cambodia,1985,19.8,119.427,46.6,19.8,113.8639,55.2
Kiribati,1985,25.9,125.4696,57,26.5,119.2198,60.1
Kuwait,1985,26,132.5439,71.4,28.4,132.7613,75.2
Lebanon,1985,24.4,130.6286,54,24.8,131.2622,68
Liberia,1985,21.3,132.2104,43.1,21.8,129.3787,46.4
Libya,1985,24.9,137.9395,65,27.2,136.3297,70
Sri Lanka,1985,20.6,125.8199,67.8,21.4,122.1898,74.9
Lesotho,1985,20.6,128.6837,54.8,25.4,126.148,64
Lithuania,1985,26,139.5037,65.1,26.7,136.7747,75.4
Luxembourg,1985,25.3,136.7852,70.1,24.5,131.1668,77.2
Latvia,1985,25.2,138.3217,64,25.4,135.5452,73.7
"Macao, China",1985,23.2,131.9928,73.2,24,130.734,77.6
Morocco,1985,23.6,127.1018,57.9,24.1,126.9399,60.7
Moldova,1985,24.7,135.8204,62,27,132.2365,69.1
Madagascar,1985,20.8,129.8489,48.4,20.4,127.1942,50.9
Maldives,1985,20.8,124.4324,59.2,22.8,120.947,60.4
Mexico,1985,25.1,128.3077,64.5,25.5,127.1826,71.5
Marshall Islands,1985,25.5,126.2974,58.9,26.4,121.7843,66.1
Mali,1985,20.4,127.0105,42.8,19.6,123.7106,43.6
Malta,1985,25.9,134.4441,70.4,26,132.9584,75.9
Myanmar,1985,19.9,120.1955,53.4,20.2,117.6238,58
Montenegro,1985,25.6,137.1415,70.4,26,133.9429,77.4
Mongolia,1985,23.6,135.0712,54.3,24.7,129.6513,59.5
Mozambique,1985,20.5,132.4575,35.1,20.8,128.5663,42.5
Mauritania,1985,21.1,132.3273,55.9,23.1,126.7914,59.3
Mauritius,1985,22.5,132.9581,64.1,23.7,130.5598,71
Malawi,1985,20.9,129.773,42.8,20.9,125.9539,47.1
Malaysia,1985,22.1,126.3517,68.4,22.8,124.8225,72.4
Namibia,1985,21.2,136.1103,54.3,23.2,132.5638,63.9
Niger,1985,20.6,138.1563,40,20.3,128.8414,40
Nigeria,1985,21.1,131.961,45.1,22.1,131.0042,47.6
Nicaragua,1985,24.3,129.5271,50.9,24.9,125.2879,62.9
Netherlands,1985,24.3,135.7858,73.1,24.1,129.351,79.6
Norway,1985,24.9,139.0803,72.6,24.1,134.0909,79.4
Nepal,1985,20.8,123.9163,51,18.9,120.7846,50.7
Nauru,1985,29.3,134.4428,59.5,29.7,131.9969,65.9
New Zealand,1985,25.6,132.6396,71,24.7,126.4146,76.8
Oman,1985,23.6,131.1515,64.1,25.4,130.7713,68.6
Pakistan,1985,21.6,124.5002,58.5,22.1,124.0881,60.4
Panama,1985,23.9,130.6942,68.1,24.6,125.9845,73.6
Peru,1985,23.2,128.3908,58.6,25.2,124.8937,64.2
Philippines,1985,21.5,125.5875,61.8,21.6,122.3777,65.4
Palau,1985,26.1,131.5144,55.7,27,127.1955,69.6
Papua New Guinea,1985,22.4,118.5526,57,21.7,111.934,61.6
Poland,1985,25.2,136.7452,66.3,25.7,135.2826,74.5
Puerto Rico,1985,25.2,130.8274,69.2,26.6,126.8034,77.2
Portugal,1985,25,136.195,69.6,24.8,133.4642,76.7
Paraguay,1985,23.8,132.1186,64.8,24,127.5495,67.9
French Polynesia,1985,26.4,132.6599,70.2,27.4,127.5396,73.2
Qatar,1985,25.4,135.858,71.5,27.2,136.0652,73.8
Romania,1985,24.8,135.5835,65.9,25.4,133.5871,72.2
Russia,1985,25,134.7015,61.5,26.7,133.6177,72.1
Rwanda,1985,21.8,131.937,50.1,20.9,130.3568,53.4
Saudi Arabia,1985,25.6,133.2471,65.1,27,133.0537,68
Sudan,1985,20.9,129.3707,43.8,21.1,124.996,49.5
Senegal,1985,20.5,131.6209,51,21.8,128.1444,54.6
Singapore,1985,22.9,129.8449,71.1,23.5,128.0894,76.5
Solomon Islands,1985,24.6,123.6201,61.8,24.7,119.0342,67.7
Sierra Leone,1985,21.6,133.5974,42.6,21.7,131.3078,45.2
El Salvador,1985,24.1,126.0215,50.9,24.3,121.7911,63.9
Somalia,1985,21.1,130.0623,46.9,21.1,127.2619,49.7
Serbia,1985,25.8,139.5272,65.7,26.2,135.7156,72
Sao Tome and Principe,1985,21.5,136.3179,58.4,22,131.7854,61.3
Suriname,1985,23.6,129.5038,60.3,25.2,126.4552,66.1
Slovak Republic,1985,25.7,137.4116,66.9,26.2,134.9719,74.8
Slovenia,1985,25.9,138.4404,67,26.4,135.5214,75.3
Sweden,1985,24.9,135.5364,73.8,24.5,130.599,79.7
Seychelles,1985,22.7,135.6802,63.6,25.1,130.5544,73.4
Syria,1985,24.9,128.667,67.4,26.5,128.8513,70.2
Chad,1985,20.3,129.5169,43,19.4,123.5855,47.1
Togo,1985,21,132.4221,51.7,20.6,127.7068,55.2
Thailand,1985,20.8,122.0505,64.1,22,118.7405,71.2
Tajikistan,1985,24.3,133.7927,57.9,24.4,130.1873,62.9
Turkmenistan,1985,24.5,134.7594,59.2,24.2,131.468,65.7
Timor-Leste,1985,20,121.69,28.2,19.9,117.5396,42.8
Tonga,1985,27.2,126.8711,63.1,28.6,121.0413,70.8
Trinidad and Tobago,1985,25.1,130.4239,65,26.5,125.497,70.2
Tunisia,1985,22.6,129.3383,65.5,25.2,130.3186,69.9
Turkey,1985,24,125.9211,62,26.5,127.3984,68.9
Taiwan,1985,22.8,127.6643,71.1,22.6,122.6555,76
Tanzania,1985,21.4,126.0093,49.3,21.3,124.085,54
Uganda,1985,21.4,130.3755,41.4,20.6,127.572,49.8
Ukraine,1985,25,139.0968,64.1,26.3,135.3794,73.4
Uruguay,1985,24.6,133.2439,68.4,23.7,127.8223,76
United States,1985,26,128.9317,71.1,25.7,123.3636,78.2
Uzbekistan,1985,24.7,129.866,61.1,24.4,126.2228,67.3
Venezuela,1985,25.1,134.58690000000001,68.4,25.3,130.3194,72.9
British Virgin Islands,1985,24,132.1565,72.6,25.3,127.2088,74.4
Vietnam,1985,19.2,122.8273,63.5,19,117.9924,71.7
Vanuatu,1985,23.9,131.654,61.9,23.9,126.2153,67.3
Samoa,1985,26.6,129.7806,63.5,28.1,123.0526,69.9
South Africa,1985,23.3,134.5389,59.5,27.2,132.9732,65.4
Zambia,1985,19.8,129.5868,50.1,21.6,127.324,53.6
Zimbabwe,1985,21.5,130.4634,59,25.2,129.7208,64.3
Afghanistan,1986,21.4,125.4051,36.4,20.7,123.2892,42.9
Angola,1986,21,133.7804,39.9,20.5,129.6562,46
Albania,1986,25.3,133.2506,69.1,25.2,131.5425,74.9
Andorra,1986,25.9,136.7997,74.8,25.7,132.6709,81.5
United Arab Emirates,1986,25.7,134.1927,69.3,27.8,131.2633,73.8
Argentina,1986,25.7,129.0195,66.7,24.5,122.5602,73.6
Armenia,1986,24.1,136.0005,64.8,26.1,135.2464,71.2
Antigua and Barbuda,1986,23.8,131.9239,70.8,25,125.738,76.1
Australia,1986,25.4,133.0379,72.9,24.4,126.9117,79.3
Austria,1986,25.1,135.7862,70.9,24.1,131.1675,77.7
Azerbaijan,1986,24.7,134.5656,58.6,26.5,131.4204,65.5
Burundi,1986,21.2,129.8032,46.5,19.7,128.1465,49.8
Belgium,1986,25.3,133.7935,71.3,24.9,128.9557,78
Benin,1986,21.1,132.216,48.3,21.5,127.5535,53.9
Burkina Faso,1986,20.2,129.989,48,19.8,125.6759,50
Bangladesh,1986,20.3,124.0084,55.2,18.6,121.7523,53.6
Bulgaria,1986,25.6,135.8053,68.5,25.7,134.0231,74.8
Bahrain,1986,24.6,133.3137,71.5,25.8,137.1023,73.3
Bahamas,1986,24.9,134.9103,65.8,26.6,130.366,72.9
Bosnia and Herzegovina,1986,25.4,133.1989,68.2,25.3,132.7156,74.1
Belarus,1986,24.9,137.5322,66.4,26.1,133.8125,74.4
Belize,1986,24.9,126.8328,68,26.4,121.0164,71.6
Bermuda,1986,25.8,136.9259,69.4,28.3,133.1516,77.7
Bolivia,1986,23.2,128.6959,52.6,24.1,124.261,55.2
Brazil,1986,23.2,134.9303,62.2,24.4,132.0714,67.2
Barbados,1986,24.7,132.0913,70.1,27.2,128.1435,74.9
Brunei,1986,23.4,133.9703,69.4,23,129.1871,72.8
Bhutan,1986,21.8,123.6011,51.9,20.6,121.315,54.1
Botswana,1986,19.8,132.2239,59.5,23.9,130.7459,65.8
Canada,1986,25.8,130.0098,73.2,24.7,123.9771,79.8
Switzerland,1986,25.3,135.0187,73.7,23.8,128.2639,80.3
Chile,1986,24.9,132.0095,68.7,24.7,128.8811,74.9
China,1986,21.7,125.5961,64.6,22,123.7744,69.4
Cote d'Ivoire,1986,21.4,134.3569,51.3,21.7,130.4024,55.4
Cameroon,1986,22.3,131.5111,53,22.3,126.5065,55.1
"Congo, Dem. Rep.",1986,20.7,132.2064,46,20.2,129.2797,47.8
"Congo, Rep.",1986,21,136.0142,54.6,20.8,133.3038,60.5
Colombia,1986,22.6,129.4477,65,24.2,126.1357,71.7
Comoros,1986,21.2,130.7278,52.8,21.1,127.6092,55.4
Cape Verde,1986,21.1,135.1127,61.5,21.7,130.2361,63.8
Costa Rica,1986,24.1,129.1593,73.7,24,123.9235,77.4
Cuba,1986,23.3,129.5663,71.9,24.6,126.5114,75.8
Cyprus,1986,25.7,132.8119,70.8,24.4,129.3634,74.6
Germany,1986,25.7,138.0248,71.3,25,133.2518,77.6
Djibouti,1986,21.7,132.8109,52.5,22.5,130.0487,56.5
Dominica,1986,22.7,132.5308,68.2,25.8,130.4211,74.5
Denmark,1986,24.6,133.4262,71.8,23.7,127.382,77.5
Algeria,1986,22.8,131.2326,63.5,24.3,131.0921,66.9
Ecuador,1986,24.1,130.4684,64,25.3,126.2512,69.2
Egypt,1986,24.8,125.1293,59.4,26.6,124.9129,63.1
Eritrea,1986,20.1,122.7826,44.9,19.1,119.2902,49.3
Spain,1986,25.5,132.8116,73.4,25.3,129.58690000000001,79.9
Estonia,1986,24.7,139.7993,65.4,25.6,135.7728,74.9
Ethiopia,1986,19.6,123.6704,36.2,19.1,118.7317,39.5
Finland,1986,25.6,139.5939,70.6,25.1,135.4948,78.8
Fiji,1986,23.1,127.9833,62.3,24.8,124.892,67.6
France,1986,24.9,135.8051,71.5,24.3,129.2905,79.7
"Micronesia, Fed. Sts.",1986,25.2,129.314,63,27,121.8853,69.6
Gabon,1986,22.6,139.4529,58.1,22.6,137.0339,61.2
United Kingdom,1986,25.2,135.7898,71.8,24.8,131.0599,77.7
Georgia,1986,24.9,138.5337,64.1,26,134.4834,72.4
Ghana,1986,21.1,129.3528,51.3,21.2,126.6436,55.1
Guinea,1986,21.3,131.0049,44.9,20.8,129.2899,46.9
Gambia,1986,20.1,132.3518,47.2,20.9,127.2761,50.3
Guinea-Bissau,1986,20.9,130.1485,43.6,21,127.1901,47.4
Equatorial Guinea,1986,21.2,133.9355,48.4,20.6,130.4708,51.6
Greece,1986,25,130.7771,74,24.3,129.0916,79.1
Grenada,1986,23.6,129.7062,66.9,24.6,124.9162,72.4
Greenland,1986,24.7,137.1003,61.5,26.1,133.8399,67.2
Guatemala,1986,23.6,126.0574,58.1,23.7,121.9906,63.7
Guyana,1986,22.7,125.821,59.2,24.1,122.2988,64.7
"Hong Kong, China",1986,22.4,131.1556,74,22.2,127.7526,79.5
Honduras,1986,23.5,127.1848,61.7,23.8,122.8852,65.6
Croatia,1986,25.5,137.9156,67.5,25.1,135.0222,75.2
Haiti,1986,23,127.5442,50.5,21.3,123.813,53.2
Hungary,1986,25.7,139.0484,65.2,25.3,133.9567,73.2
Indonesia,1986,20.1,126.2213,60.1,20.7,123.7363,63.3
India,1986,20.8,123.6033,56.3,20.6,122.7837,57.5
Ireland,1986,26,136.6697,70.8,25,128.8385,76.6
Iran,1986,23.6,128.6201,59.6,23.9,126.9426,65.9
Iraq,1986,25.5,129.0166,54.2,26.8,129.4118,68.6
Iceland,1986,25.3,133.617,75.4,24.8,126.9726,80.8
Israel,1986,25,130.3385,73.3,24.9,128.6325,77
Italy,1986,25.4,135.2478,72.6,25,132.0325,79.1
Jamaica,1986,22.5,129.4668,69.6,25.1,126.223,71.8
Jordan,1986,25.4,126.5967,67.3,28.3,126.2043,69.9
Japan,1986,22.2,133.3085,75.3,21.5,128.5381,81
Kazakhstan,1986,24.9,136.3643,60,25.6,133.3061,68.8
Kenya,1986,20.6,127.3535,58.6,21.3,124.1411,61.8
Cambodia,1986,19.8,119.5236,47.3,19.9,114.1403,55.4
Kiribati,1986,26,125.2819,57.3,26.6,119.131,60.6
Kuwait,1986,26.1,132.0673,71.9,28.4,132.2203,75.6
Lebanon,1986,24.6,130.4068,54.5,24.9,131.2784,68.5
Liberia,1986,21.3,131.8643,43.6,21.8,129.4024,46.4
Libya,1986,25,137.145,65.6,27.2,135.8941,70.3
Sri Lanka,1986,20.7,125.6924,68.1,21.5,122.2727,75.5
Lesotho,1986,20.6,128.663,55.2,25.5,126.336,64.3
Lithuania,1986,26,139.3127,67.1,26.6,136.5219,76.4
Luxembourg,1986,25.3,136.4272,70.4,24.5,130.751,77.8
Latvia,1986,25.2,138.1622,65.5,25.4,135.2996,74.8
"Macao, China",1986,23.3,131.5328,73.6,24.1,130.2006,77.9
Morocco,1986,23.7,126.9485,58.6,24.2,127.0499,61.5
Moldova,1986,24.7,135.7262,64,27,132.1622,71
Madagascar,1986,20.8,129.7805,48.6,20.4,127.3584,51.1
Maldives,1986,20.9,124.5152,60,23,121.1828,61.2
Mexico,1986,25.2,127.9642,65,25.6,126.8821,72
Marshall Islands,1986,25.6,126.21,59,26.6,121.7648,66.1
Mali,1986,20.4,126.739,43.5,19.7,123.9661,44.4
Malta,1986,25.9,134.113,71.7,26,132.553,75.7
Myanmar,1986,19.9,120.2195,53.4,20.3,117.8827,58.5
Montenegro,1986,25.6,137.0824,70.8,25.9,133.7571,77.9
Mongolia,1986,23.6,135.0617,54.4,24.8,129.724,59.5
Mozambique,1986,20.5,132.3218,36.9,20.8,128.7303,44.8
Mauritania,1986,21.1,131.9844,56.4,23.3,126.9244,59.6
Mauritius,1986,22.6,132.851,64.4,23.8,130.6024,71.3
Malawi,1986,20.9,129.7404,42.3,21,126.1511,46.4
Malaysia,1986,22.2,126.1521,68.4,22.9,124.7952,72.7
Namibia,1986,21.2,135.9002,54.9,23.2,132.5579,64.3
Niger,1986,20.7,137.5948,40.1,20.4,128.9575,40.1
Nigeria,1986,21.1,131.4338,44.8,22.1,131.0777,47.1
Nicaragua,1986,24.4,129.1431,52.6,25,125.0411,63.6
Netherlands,1986,24.3,135.343,73.1,24.1,128.9461,79.6
Norway,1986,25,138.6227,72.9,24.1,133.6183,79.7
Nepal,1986,20.8,123.9635,51.7,18.9,121.0472,51.3
Nauru,1986,29.5,134.2936,59.4,30,131.7312,65.8
New Zealand,1986,25.6,132.4191,71,24.8,126.1129,77.4
Oman,1986,23.7,131.0595,64.9,25.4,130.8074,69.4
Pakistan,1986,21.6,124.4419,58.8,22.1,124.2424,60.3
Panama,1986,24,130.4089,68.1,24.8,125.7816,73.9
Peru,1986,23.3,128.1685,59.3,25.3,124.6122,65
Philippines,1986,21.6,125.3626,61.9,21.7,122.3468,65.7
Palau,1986,26.2,131.1343,55.7,27.1,126.887,69.7
Papua New Guinea,1986,22.5,118.6426,57,21.9,112.2978,61.7
Poland,1986,25.3,136.6426,66.5,25.7,134.8228,74.8
Puerto Rico,1986,25.3,130.6315,69.8,26.7,126.611,77.9
Portugal,1986,25.1,135.9108,70.2,24.9,133.2058,77.1
Paraguay,1986,23.8,131.8738,65.1,24.1,127.3529,68.3
French Polynesia,1986,26.6,132.4791,71,27.6,127.3748,74.1
Qatar,1986,25.4,135.1836,71.7,27.2,135.3846,74
Romania,1986,24.8,135.666,66.3,25.4,133.4437,72.6
Russia,1986,25,134.5695,63.9,26.7,133.458,73.7
Rwanda,1986,21.8,131.9407,49.9,20.9,130.4995,53.4
Saudi Arabia,1986,25.6,132.5896,65.7,27.1,132.4797,68.6
Sudan,1986,20.9,129.2655,48.5,21.1,125.1191,54.9
Senegal,1986,20.6,131.3553,52.1,21.9,128.2555,55.9
Singapore,1986,22.9,129.5677,71.8,23.5,127.7614,76.8
Solomon Islands,1986,24.7,123.5662,61.4,24.9,119.148,66.9
Sierra Leone,1986,21.6,133.4131,42.6,21.8,131.5094,45
El Salvador,1986,24.1,125.7563,51.8,24.4,121.5859,64.2
Somalia,1986,21.1,129.9826,47,21.1,127.3808,49.8
Serbia,1986,25.8,139.5565,65.9,26.2,135.5036,72.1
Sao Tome and Principe,1986,21.6,135.9188,56.2,22.1,131.8082,58.9
Suriname,1986,23.6,129.1788,59.9,25.3,126.2799,66.3
Slovak Republic,1986,25.8,137.3904,67,26.2,134.7554,74.9
Slovenia,1986,25.9,138.3837,67.6,26.4,135.2778,75.7
Sweden,1986,24.9,135.1006,74,24.5,130.2423,80
Seychelles,1986,22.8,135.6154,64.1,25.3,130.5731,74
Syria,1986,24.9,128.4251,67.8,26.6,128.7353,70.7
Chad,1986,20.4,129.455,43,19.5,123.8461,47.5
Togo,1986,21,132.0853,51.9,20.6,127.7509,55.5
Thailand,1986,20.9,121.9525,64.9,22.1,118.8006,71.9
Tajikistan,1986,24.3,133.7585,58.5,24.4,130.1223,63.1
Turkmenistan,1986,24.5,134.6705,59.7,24.2,131.3329,66.1
Timor-Leste,1986,20,121.646,28.7,20,117.7023,43.4
Tonga,1986,27.4,127.0355,63.3,28.9,121.3282,70.9
Trinidad and Tobago,1986,25.1,130.0647,65.8,26.6,125.2697,70.7
Tunisia,1986,22.7,129.1881,66.2,25.3,130.352,70.4
Turkey,1986,24.1,125.9467,62.5,26.6,127.487,69.4
Taiwan,1986,22.9,127.4662,71.1,22.6,122.3836,76.1
Tanzania,1986,21.4,126.0001,49.5,21.3,124.3351,54
Uganda,1986,21.4,130.3661,41.4,20.6,127.8255,49.6
Ukraine,1986,25,138.9068,65.9,26.3,135.2016,74.5
Uruguay,1986,24.6,132.9313,68.6,23.8,127.5913,76.3
United States,1986,26.1,128.5767,71.1,25.8,123.0279,78.3
Uzbekistan,1986,24.7,129.7268,61.7,24.4,126.0618,67.7
Venezuela,1986,25.2,134.3241,68.9,25.4,129.93,73.3
British Virgin Islands,1986,24.1,131.9027,73.3,25.4,127.1787,74.3
Vietnam,1986,19.2,122.7812,63.7,19,118.1809,72.4
Vanuatu,1986,24,131.6383,62.6,24.1,126.4767,68.3
Samoa,1986,26.8,129.7944,63.8,28.3,123.1318,70.2
South Africa,1986,23.3,134.3236,59.8,27.3,132.8862,65.9
Zambia,1986,19.8,129.4227,49.3,21.6,127.3397,52.7
Zimbabwe,1986,21.6,130.375,59.2,25.1,129.859,64.9
Afghanistan,1987,21.4,125.4011,36.7,20.7,123.4189,43.5
Angola,1987,21,133.6974,37.6,20.6,129.6698,44.7
Albania,1987,25.3,133.2931,69.5,25.2,131.3945,75.4
Andorra,1987,25.9,136.3876,74.9,25.7,132.1498,81.7
United Arab Emirates,1987,25.8,133.5243,69.8,27.8,130.6584,74.5
Argentina,1987,25.8,128.6777,67.1,24.6,122.3044,74
Armenia,1987,24.1,135.8925,65,26.2,135.0847,70.9
Antigua and Barbuda,1987,23.9,131.8965,70.8,25.2,125.7812,76.1
Australia,1987,25.5,132.9539,72.9,24.5,126.6341,79.3
Austria,1987,25.1,135.5384,71.4,24.2,130.8219,78
Azerbaijan,1987,24.8,134.484,58.8,26.6,131.3161,66.1
Burundi,1987,21.2,129.9119,45.7,19.8,128.43,49.3
Belgium,1987,25.3,133.6122,71.9,24.9,128.7089,78.6
Benin,1987,21.1,131.9906,48.8,21.6,127.675,54.6
Burkina Faso,1987,20.3,129.7246,48,19.9,125.9638,50
Bangladesh,1987,20.3,124.0259,55.5,18.7,121.9821,54.3
Bulgaria,1987,25.7,135.8156,68.3,25.7,133.7713,74.6
Bahrain,1987,24.8,133.0034,71.6,25.9,136.8548,73.3
Bahamas,1987,25,134.6697,65.5,26.8,130.0972,72.4
Bosnia and Herzegovina,1987,25.4,133.2546,69,25.3,132.803,74.3
Belarus,1987,24.9,137.3842,66.2,26.1,133.6424,74.5
Belize,1987,25,126.6743,68.5,26.6,120.9284,72.1
Bermuda,1987,25.9,136.4545,70,28.4,132.7279,78.2
Bolivia,1987,23.2,128.4638,53.1,24.1,124.2074,55.8
Brazil,1987,23.3,134.6597,62.6,24.4,131.7784,67.7
Barbados,1987,24.8,131.8045,70.2,27.2,127.993,75
Brunei,1987,23.4,133.5269,69.6,23,128.7306,73
Bhutan,1987,21.8,123.8154,52.7,20.7,121.7139,54.9
Botswana,1987,19.9,132.2701,59.3,24,131.0353,65.7
Canada,1987,25.9,129.9283,73.5,24.8,123.9003,80.1
Switzerland,1987,25.3,134.6813,73.9,23.8,127.8601,80.7
Chile,1987,24.9,131.8549,69.8,24.8,128.6616,75.3
China,1987,21.8,125.2808,64.9,22.1,123.5962,69.8
Cote d'Ivoire,1987,21.4,134.0277,51.2,21.8,130.4073,55.5
Cameroon,1987,22.4,131.198,53.5,22.4,126.3996,55.9
"Congo, Dem. Rep.",1987,20.7,132.014,46.5,20.2,129.273,48.1
"Congo, Rep.",1987,21.1,135.8291,54.7,20.9,133.2732,60.2
Colombia,1987,22.7,129.0337,64.8,24.3,125.9056,72
Comoros,1987,21.3,130.7491,53.3,21.2,127.8655,55.6
Cape Verde,1987,21.2,134.8933,62.1,21.8,130.7496,64.5
Costa Rica,1987,24.2,128.8827,73.9,24.1,123.7693,77.7
Cuba,1987,23.4,129.4295,71.9,24.7,126.4896,75.9
Cyprus,1987,25.7,132.7861,71,24.5,129.1356,75.2
Germany,1987,25.8,137.9427,71.7,25,132.9995,78.1
Djibouti,1987,21.8,132.6527,52.9,22.6,129.9803,56.6
Dominica,1987,22.8,132.3414,67.8,26,130.4482,74.1
Denmark,1987,24.6,133.179,71.7,23.8,127.0723,77.8
Algeria,1987,22.8,131.0388,64.4,24.4,131.0759,67.2
Ecuador,1987,24.1,130.16,64.6,25.4,126.063,70.1
Egypt,1987,24.9,125.0395,60.3,26.7,124.9448,63.9
Eritrea,1987,20.2,122.9423,44.8,19.2,119.5687,49.9
Spain,1987,25.5,132.437,73.6,25.3,129.0884,80.2
Estonia,1987,24.7,139.594,65.5,25.5,135.3635,74.7
Ethiopia,1987,19.6,123.8274,43.6,19.1,119.0315,47.3
Finland,1987,25.6,139.2469,70.7,25.1,135.1057,78.7
Fiji,1987,23.3,127.8777,62.6,24.9,124.9667,67.8
France,1987,24.9,135.4924,72,24.3,128.9064,80.3
"Micronesia, Fed. Sts.",1987,25.4,129.3318,63.2,27.2,122.0043,69.7
Gabon,1987,22.7,139.0453,58.3,22.7,136.6971,61.5
United Kingdom,1987,25.3,135.9311,72.2,24.9,131.1781,78
Georgia,1987,24.9,138.5158,64,26.1,134.3612,72.1
Ghana,1987,21.2,129.2182,52.1,21.3,126.908,55.6
Guinea,1987,21.3,130.7379,45.4,20.8,129.3938,47.4
Gambia,1987,20.1,132.0593,47.8,21,127.4326,51.1
Guinea-Bissau,1987,20.9,129.8953,44,21.1,127.4689,47.6
Equatorial Guinea,1987,21.2,133.7482,48.7,20.7,130.4919,51.8
Greece,1987,25,130.532,73.9,24.3,128.6944,78.8
Grenada,1987,23.6,129.6512,67.2,24.8,124.9133,72.5
Greenland,1987,24.8,136.6034,61.2,26.1,133.3607,67.5
Guatemala,1987,23.6,125.7464,58.9,23.8,121.8231,64.2
Guyana,1987,22.8,125.7167,59.3,24.1,122.3229,64.9
"Hong Kong, China",1987,22.5,130.6809,74.2,22.3,127.2529,79.8
Honduras,1987,23.5,126.9833,62.1,23.9,122.8058,66.2
Croatia,1987,25.5,137.8813,67.6,25.1,134.7946,75.3
Haiti,1987,23,127.4228,51,21.4,123.8315,53.5
Hungary,1987,25.8,139.0723,65.6,25.4,133.7054,73.7
Indonesia,1987,20.2,126.1345,60.5,20.8,123.9534,63.4
India,1987,20.8,123.8561,56.7,20.6,123.086,58
Ireland,1987,26,136.4366,71.6,25,128.6471,77.4
Iran,1987,23.7,128.197,59.9,24,126.7467,66.3
Iraq,1987,25.6,128.792,54.6,26.9,129.2129,68.7
Iceland,1987,25.3,133.1326,74.6,24.8,126.4677,80.1
Israel,1987,25.1,130.0811,73.7,25.1,128.4518,77.5
Italy,1987,25.5,135.1961,73,24.9,131.629,79.6
Jamaica,1987,22.5,129.3018,70.4,25.1,126.108,72.1
Jordan,1987,25.5,126.4154,67.6,28.4,126.2076,70.2
Japan,1987,22.2,133.0467,75.6,21.5,128.2575,81.4
Kazakhstan,1987,24.9,136.2059,60.6,25.6,133.1099,69.4
Kenya,1987,20.6,127.3676,58.4,21.4,124.2667,61.6
Cambodia,1987,19.8,119.6088,50.6,19.9,114.4127,56
Kiribati,1987,26.1,125.1574,57.8,26.8,119.0662,61
Kuwait,1987,26.2,131.6376,72.5,28.5,131.7463,76.1
Lebanon,1987,24.7,130.1415,57.4,25,131.2818,65.7
Liberia,1987,21.3,131.5981,43.1,21.9,129.4346,46
Libya,1987,25,136.3587,66,27.3,135.4953,70.9
Sri Lanka,1987,20.7,125.6094,67.8,21.6,122.3264,76
Lesotho,1987,20.6,128.6655,55.2,25.5,126.5295,64.4
Lithuania,1987,26,139.1353,66.7,26.5,136.2132,76.1
Luxembourg,1987,25.4,136.182,70.9,24.6,130.3863,77.4
Latvia,1987,25.2,138.0218,65.3,25.4,135.0053,74.6
"Macao, China",1987,23.4,131.1431,73.9,24.1,129.7196,78.4
Morocco,1987,23.8,126.7746,59.3,24.3,127.0945,62.2
Moldova,1987,24.7,135.598,64.6,27,132.0929,71.3
Madagascar,1987,20.8,129.7703,48.9,20.4,127.547,51.6
Maldives,1987,21,124.6407,60.8,23.2,121.4042,62
Mexico,1987,25.3,127.6692,65.5,25.8,126.5546,72.4
Marshall Islands,1987,25.8,126.1995,59,26.9,121.7736,66
Mali,1987,20.4,126.505,44.2,19.8,124.2012,45.2
Malta,1987,26,133.865,72.5,26,132.1793,76.6
Myanmar,1987,19.9,120.2312,53.7,20.3,118.1085,58.6
Montenegro,1987,25.7,137.025,71.8,25.9,133.5897,78.5
Mongolia,1987,23.7,135.0594,54.9,24.9,129.7852,60
Mozambique,1987,20.5,132.2887,36.9,20.9,128.9991,45.1
Mauritania,1987,21.2,131.666,57,23.4,127.095,60.1
Mauritius,1987,22.7,132.8212,64.7,23.9,130.7009,71.7
Malawi,1987,20.9,129.7276,41.8,21.1,126.3424,45.8
Malaysia,1987,22.3,126.0207,68.6,23,124.7638,72.9
Namibia,1987,21.2,135.6885,55.6,23.3,132.5756,64.8
Niger,1987,20.7,137.0509,40.3,20.4,129.0851,40.4
Nigeria,1987,21.2,130.9788,44.7,22.2,131.1497,47.3
Nicaragua,1987,24.4,128.7708,52,25.1,124.7466,64.1
Netherlands,1987,24.3,134.9824,73.5,24.1,128.6211,80
Norway,1987,25.1,138.2453,72.8,24.2,133.2094,79.6
Nepal,1987,20.7,123.9618,52.5,19,121.3284,52.4
Nauru,1987,29.8,134.156,59.2,30.3,131.4668,65.8
New Zealand,1987,25.7,132.215,71.3,24.9,125.8598,77.1
Oman,1987,23.8,130.934,65.9,25.5,130.7964,70.2
Pakistan,1987,21.6,124.3887,58.5,22.2,124.402,59.8
Panama,1987,24.1,130.2366,68,24.9,125.6031,74.1
Peru,1987,23.4,128.0222,60.1,25.4,124.3909,65.8
Philippines,1987,21.6,125.2128,62.5,21.7,122.3416,66.2
Palau,1987,26.4,130.8244,55.8,27.3,126.6102,69.6
Papua New Guinea,1987,22.6,118.7792,57.3,22.1,112.6767,62
Poland,1987,25.3,136.4999,66.5,25.7,134.3447,74.9
